YEAR,WARD,AGE_RANGE,FEMALES,MALES,OTHER
1994,1,0-4,1686,1782,
1994,1,5-14,3322,3473,
1994,1,15-19,1797,1826,
1994,1,20-24,2413,2418,
1994,1,25-34,8837,8686,
1994,1,35-44,0,0,
1994,1,45-54,3162,3126,
1994,1,55-64,2061,1990,
1994,1,65-74,2785,1871,
1994,2,0-4,2424,2373,
1994,2,5-14,5151,5654,
1994,2,15-19,2243,2531,
1994,2,20-24,2015,2216,
1994,2,25-34,12401,11880,
1994,2,35-44,0,0,
1994,2,45-54,3783,4065,
1994,2,55-64,2463,2348,
1994,2,65-74,2432,2042,
1994,2,75+,0,0,
1994,3,0-4,2815,2848,
1994,3,5-14,5030,4992,
1994,3,15-19,1732,1862,
1994,3,20-24,1996,2057,
1994,3,25-34,12354,12209,
1994,3,35-44,0,0,
1994,3,45-54,2877,2893,
1994,3,55-64,1647,1591,
1994,3,65-74,1238,1043,
1994,3,75+,0,0,
1994,4,0-4,1416,1492,
1994,4,5-14,2212,2219,
1994,4,15-19,920,942,
1994,4,20-24,1845,1818,
1994,4,25-34,8824,10010,
1994,4,35-44,0,0,
1994,4,45-54,2035,2006,
1994,4,55-64,1986,1632,
1994,4,65-74,4413,2879,
1994,4,75+,0,0,
1994,5,0-4,2586,2654,
1994,5,5-14,5901,6059,
1994,5,15-19,2400,2638,
1994,5,20-24,2188,2194,
1994,5,25-34,12255,11938,
1994,5,35-44,0,0,
1994,5,45-54,3157,3489,
1994,5,55-64,1303,1232,
1994,5,65-74,1265,980,
1994,5,75+,0,0,
1994,6,0-4,1918,1964,
1994,6,5-14,3059,3187,
1994,6,15-19,1212,1185,
1994,6,20-24,1648,1419,
1994,6,25-34,9821,9463,
1994,6,35-44,0,0,
1994,6,45-54,2420,2507,
1994,6,55-64,1880,1545,
1994,6,65-74,3201,2343,
1994,6,75+,0,0,
1994,7,0-4,911,971,
1994,7,5-14,1209,1214,
1994,7,15-19,763,731,
1994,7,20-24,2461,2565,
1994,7,25-34,9028,10716,
1994,7,35-44,0,0,
1994,7,45-54,1981,2249,
1994,7,55-64,1565,1425,
1994,7,65-74,4505,2872,
1994,7,75+,0,0,
1994,8,0-4,771,793,
1994,8,5-14,1013,1014,
1994,8,15-19,674,612,
1994,8,20-24,2843,2470,
1994,8,25-34,9064,11619,
1994,8,35-44,0,0,
1994,8,45-54,1915,2278,
1994,8,55-64,1197,1212,
1994,8,65-74,2634,1671,
1994,8,75+,0,0,
1994,9,0-4,2240,2301,
1994,9,5-14,3711,3856,
1994,9,15-19,1379,1590,
1994,9,20-24,1728,1753,
1994,9,25-34,10368,11383,
1994,9,35-44,0,0,
1994,9,45-54,2370,2642,
1994,9,55-64,1539,1563,
1994,9,65-74,2034,1519,
1994,9,75+,0,0,
1994,10,0-4,2351,2367,
1994,10,5-14,4404,4562,
1994,10,15-19,1848,2092,
1994,10,20-24,2190,2239,
1994,10,25-34,10115,10848,
1994,10,35-44,0,0,
1994,10,45-54,2949,3084,
1994,10,55-64,1625,1621,
1994,10,65-74,1719,1347,
1994,10,75+,0,0,
1994,11,0-4,1501,1431,
1994,11,5-14,2416,2468,
1994,11,15-19,1251,1317,
1994,11,20-24,1924,2002,
1994,11,25-34,7935,8320,
1994,11,35-44,0,0,
1994,11,45-54,2576,2483,
1994,11,55-64,2404,2017,
1994,11,65-74,4469,3086,
1994,11,75+,0,0,
1994,12,0-4,1740,1784,
1994,12,5-14,3797,3896,
1994,12,15-19,1764,1762,
1994,12,20-24,1932,1960,
1994,12,25-34,9681,9595,
1994,12,35-44,0,0,
1994,12,45-54,3550,3540,
1994,12,55-64,2434,2284,
1994,12,65-74,2361,1927,
1994,12,75+,0,0,
1994,13,0-4,1736,1862,
1994,13,5-14,4451,4772,
1994,13,15-19,2086,2301,
1994,13,20-24,1720,1883,
1994,13,25-34,9715,8569,
1994,13,35-44,0,0,
1994,13,45-54,4198,4325,
1994,13,55-64,1823,1882,
1994,13,65-74,1916,1415,
1994,13,75+,0,0,
1994,14,0-4,2341,2492,
1994,14,5-14,5187,5563,
1994,14,15-19,1811,2037,
1994,14,20-24,1226,1248,
1994,14,25-34,10470,9712,
1994,14,35-44,0,0,
1994,14,45-54,3184,3522,
1994,14,55-64,1304,1417,
1994,14,65-74,1113,913,
1994,14,75+,0,0,
1996,1,0-4,1591,1692,
1996,1,5-14,3482,3684,
1996,1,15-19,1881,1932,
1996,1,20-24,2516,2295,
1996,1,25-34,8936,8757,
1996,1,35-44,0,0,
1996,1,45-54,3466,3522,
1996,1,55-64,2133,2017,
1996,1,65-74,3029,2106,
1996,1,75+,0,0,
1996,2,0-4,2424,2405,
1996,2,5-14,5672,6061,
1996,2,15-19,2468,2834,
1996,2,20-24,1987,2269,
1996,2,25-34,12959,12345,
1996,2,35-44,0,0,
1996,2,45-54,4447,4804,
1996,2,55-64,2317,2215,
1996,2,65-74,2375,1986,
1996,2,75+,0,0,
1996,3,0-4,2652,2781,
1996,3,5-14,5276,5250,
1996,3,15-19,1816,1944,
1996,3,20-24,2010,2116,
1996,3,25-34,12819,12741,
1996,3,35-44,0,0,
1996,3,45-54,3318,3229,
1996,3,55-64,1813,1725,
1996,3,65-74,1512,1268,
1996,3,75+,0,0,
1996,4,0-4,1347,1445,
1996,4,5-14,2278,2310,
1996,4,15-19,939,958,
1996,4,20-24,1697,1789,
1996,4,25-34,8952,9898,
1996,4,35-44,0,0,
1996,4,45-54,2106,2215,
1996,4,55-64,1835,1487,
1996,4,65-74,4487,2948,
1996,4,75+,0,0,
1996,5,0-4,2480,2666,
1996,5,5-14,5786,6042,
1996,5,15-19,2702,2906,
1996,5,20-24,2292,2385,
1996,5,25-34,12282,11882,
1996,5,35-44,0,0,
1996,5,45-54,3765,4047,
1996,5,55-64,1437,1442,
1996,5,65-74,1459,1174,
1996,5,75+,0,0,
1996,6,0-4,1875,1946,
1996,6,5-14,3420,3520,
1996,6,15-19,1316,1368,
1996,6,20-24,1600,1491,
1996,6,25-34,10389,9852,
1996,6,35-44,0,0,
1996,6,45-54,2950,2969,
1996,6,55-64,1916,1636,
1996,6,65-74,3571,2532,
1996,6,75+,0,0,
1996,7,0-4,984,1082,
1996,7,5-14,1504,1593,
1996,7,15-19,937,914,
1996,7,20-24,2686,2840,
1996,7,25-34,9682,11268,
1996,7,35-44,0,0,
1996,7,45-54,2497,2855,
1996,7,55-64,1684,1656,
1996,7,65-74,5089,3364,
1996,7,75+,0,0,
1996,8,0-4,698,692,
1996,8,5-14,1013,1039,
1996,8,15-19,1130,803,
1996,8,20-24,2949,2559,
1996,8,25-34,9180,11767,
1996,8,35-44,0,0,
1996,8,45-54,2149,2483,
1996,8,55-64,1188,1229,
1996,8,65-74,2665,1718,
1996,8,75+,0,0,
1996,9,0-4,2154,2362,
1996,9,5-14,3767,4031,
1996,9,15-19,1424,1591,
1996,9,20-24,1594,1671,
1996,9,25-34,10401,11444,
1996,9,35-44,0,0,
1996,9,45-54,2669,2861,
1996,9,55-64,1656,1618,
1996,9,65-74,2112,1687,
1996,9,75+,0,0,
1996,10,0-4,2300,2219,
1996,10,5-14,4312,4392,
1996,10,15-19,1886,2049,
1996,10,20-24,2167,2280,
1996,10,25-34,9856,10730,
1996,10,35-44,0,0,
1996,10,45-54,3248,3368,
1996,10,55-64,1774,1780,
1996,10,65-74,1848,1418,
1996,10,75+,0,0,
1996,11,0-4,1425,1383,
1996,11,5-14,2672,2678,
1996,11,15-19,1196,1017,
1996,11,20-24,1909,2011,
1996,11,25-34,8051,8055,
1996,11,35-44,0,0,
1996,11,45-54,2693,2607,
1996,11,55-64,2233,1865,
1996,11,65-74,4742,3229,
1996,11,75+,0,0,
1996,12,0-4,1723,1706,
1996,12,5-14,3889,3977,
1996,12,15-19,1737,1881,
1996,12,20-24,1694,1789,
1996,12,25-34,9976,9822,
1996,12,35-44,0,0,
1996,12,45-54,3818,3857,
1996,12,55-64,2532,2354,
1996,12,65-74,2805,2142,
1996,12,75+,0,0,
1996,13,0-4,1537,1700,
1996,13,5-14,4401,4768,
1996,13,15-19,2127,2333,
1996,13,20-24,1611,1794,
1996,13,25-34,9307,8232,
1996,13,35-44,0,0,
1996,13,45-54,4594,4600,
1996,13,55-64,2019,2129,
1996,13,65-74,2197,1653,
1996,13,75+,0,0,
1996,14,0-4,2296,2404,
1996,14,5-14,5608,6076,
1996,14,15-19,2010,2208,
1996,14,20-24,1241,1346,
1996,14,25-34,11005,10045,
1996,14,35-44,0,0,
1996,14,45-54,3632,4044,
1996,14,55-64,1502,1587,
1996,14,65-74,1282,1071,
1996,14,75+,0,0,
1999,1,0-4,1899,1947,
1999,1,5-14,4371,4550,
1999,1,15-19,2337,2446,
1999,1,20-24,2907,3063,
1999,1,25-34,5035,5107,
1999,1,35-44,6385,6271,
1999,1,45-54,4663,4690,
1999,1,55-64,2901,2720,
1999,1,65-74,2556,2119,
1999,1,75+,1500,932,
1999,2,0-4,2592,2768,
1999,2,5-14,6282,6349,
1999,2,15-19,2849,3222,
1999,2,20-24,2337,2604,
1999,2,25-34,5797,5475,
1999,2,35-44,8291,7808,
1999,2,45-54,5491,5840,
1999,2,55-64,2276,2327,
1999,2,65-74,1608,1405,
1999,2,75+,877,615,
1999,3,0-4,2997,2995,
1999,3,5-14,5648,5753,
1999,3,15-19,2308,2502,
1999,3,20-24,2570,2694,
1999,3,25-34,7407,7318,
1999,3,35-44,7440,7570,
1999,3,45-54,4106,4208,
1999,3,55-64,2240,2115,
1999,3,65-74,1417,1261,
1999,3,75+,555,407,
1999,4,0-4,1181,1188,
1999,4,5-14,2215,2168,
1999,4,15-19,1033,1086,
1999,4,20-24,1945,2015,
1999,4,25-34,4690,5171,
1999,4,35-44,4409,4994,
1999,4,45-54,2407,2637,
1999,4,55-64,1661,1427,
1999,4,65-74,2105,1664,
1999,4,75+,2151,1217,
1999,5,0-4,2516,2732,
1999,5,5-14,5799,6130,
1999,5,15-19,2987,3069,
1999,5,20-24,2795,3126,
1999,5,25-34,5665,5510,
1999,5,35-44,6782,6730,
1999,5,45-54,4676,4912,
1999,5,55-64,1778,1934,
1999,5,65-74,1291,1065,
1999,5,75+,553,406,
1999,6,0-4,1847,1784,
1999,6,5-14,3715,3899,
1999,6,15-19,1648,1705,
1999,6,20-24,1915,1881,
1999,6,25-34,4789,4379,
1999,6,35-44,6408,6049,
1999,6,45-54,3841,4096,
1999,6,55-64,2118,1846,
1999,6,65-74,2279,1829,
1999,6,75+,1884,1130,
1999,7,0-4,873,932,
1999,7,5-14,1558,1630,
1999,7,15-19,965,956,
1999,7,20-24,2636,2803,
1999,7,25-34,5573,6313,
1999,7,35-44,4463,5326,
1999,7,45-54,2906,3315,
1999,7,55-64,1695,1822,
1999,7,65-74,2293,1856,
1999,7,75+,2541,1455,
1999,8,0-4,672,593,
1999,8,5-14,1048,1170,
1999,8,15-19,940,780,
1999,8,20-24,3004,2785,
1999,8,25-34,6340,7758,
1999,8,35-44,3707,5101,
1999,8,45-54,2268,2816,
1999,8,55-64,1231,1282,
1999,8,65-74,1288,1070,
1999,8,75+,1148,754,
1999,9,0-4,1934,1958,
1999,9,5-14,3822,4050,
1999,9,15-19,1568,1750,
1999,9,20-24,1665,1932,
1999,9,25-34,4853,5034,
1999,9,35-44,5651,6432,
1999,9,45-54,3128,3510,
1999,9,55-64,1798,1807,
1999,9,65-74,1441,1373,
1999,9,75+,883,591,
1999,10,0-4,2183,2239,
1999,10,5-14,4284,4436,
1999,10,15-19,2009,2197,
1999,10,20-24,2113,2405,
1999,10,25-34,4992,5433,
1999,10,35-44,5147,5947,
1999,10,45-54,3403,3640,
1999,10,55-64,1966,2044,
1999,10,65-74,1363,1201,
1999,10,75+,743,453,
1999,11,0-4,1116,1165,
1999,11,5-14,2575,2586,
1999,11,15-19,1315,1288,
1999,11,20-24,1786,1780,
1999,11,25-34,3496,3744,
1999,11,35-44,4237,4279,
1999,11,45-54,3002,3076,
1999,11,55-64,2054,1825,
1999,11,65-74,2447,1985,
1999,11,75+,2586,1414,
1999,12,0-4,1752,1894,
1999,12,5-14,4117,4138,
1999,12,15-19,1927,2058,
1999,12,20-24,1927,1978,
1999,12,25-34,4510,4534,
1999,12,35-44,5924,6019,
1999,12,45-54,4231,4254,
1999,12,55-64,2719,2516,
1999,12,65-74,1981,1823,
1999,12,75+,1168,740,
1999,13,0-4,1331,1370,
1999,13,5-14,4197,4555,
1999,13,15-19,2267,2472,
1999,13,20-24,1814,1897,
1999,13,25-34,3110,2963,
1999,13,35-44,5508,4802,
1999,13,45-54,5124,4964,
1999,13,55-64,2419,2562,
1999,13,65-74,1545,1433,
1999,13,75+,899,636,
1999,14,0-4,2683,2771,
1999,14,5-14,6691,7259,
1999,14,15-19,2596,2885,
1999,14,20-24,1742,1842,
1999,14,25-34,5367,4751,
1999,14,35-44,8078,7736,
1999,14,45-54,4891,5241,
1999,14,55-64,2068,2186,
1999,14,65-74,1114,1099,
1999,14,75+,555,370,
2001,1,0-4,1897,1933,
2001,1,5-14,4091,4186,
2001,1,15-19,2261,2325,
2001,1,20-24,3103,2950,
2001,1,25-34,4927,4819,
2001,1,35-44,5836,5667,
2001,1,45-54,4722,4894,
2001,1,55-64,2711,2604,
2001,1,65-74,2057,1741,
2001,1,75+,1531,938,
2001,2,0-4,1877,2005,
2001,2,5-14,5326,5386,
2001,2,15-19,2761,3136,
2001,2,20-24,2318,2524,
2001,2,25-34,4210,3935,
2001,2,35-44,6843,6247,
2001,2,45-54,5734,5918,
2001,2,55-64,2349,2363,
2001,2,65-74,1555,1448,
2001,2,75+,980,668,
2001,3,0-4,3140,3340,
2001,3,5-14,5103,5336,
2001,3,15-19,2055,2112,
2001,3,20-24,2271,2416,
2001,3,25-34,7897,7738,
2001,3,35-44,6622,7100,
2001,3,45-54,3454,3636,
2001,3,55-64,1596,1599,
2001,3,65-74,1030,889,
2001,3,75+,454,305,
2001,4,0-4,1990,2022,
2001,4,5-14,4835,4969,
2001,4,15-19,2302,2430,
2001,4,20-24,2673,2783,
2001,4,25-34,5701,5858,
2001,4,35-44,7163,7173,
2001,4,45-54,4895,5016,
2001,4,55-64,2584,2477,
2001,4,65-74,2488,2032,
2001,4,75+,1827,1201,
2001,5,0-4,2073,1998,
2001,5,5-14,4813,4953,
2001,5,15-19,2642,2828,
2001,5,20-24,2504,2808,
2001,5,25-34,4539,4592,
2001,5,35-44,5569,5465,
2001,5,45-54,4606,4762,
2001,5,55-64,1910,1996,
2001,5,65-74,1211,1076,
2001,5,75+,644,409,
2001,6,0-4,1697,1792,
2001,6,5-14,3878,4037,
2001,6,15-19,1748,1927,
2001,6,20-24,1869,1873,
2001,6,25-34,4303,4071,
2001,6,35-44,6208,5643,
2001,6,45-54,4367,4402,
2001,6,55-64,2253,2083,
2001,6,65-74,2215,1796,
2001,6,75+,1987,1201,
2001,7,0-4,1029,1074,
2001,7,5-14,2148,2214,
2001,7,15-19,1353,1422,
2001,7,20-24,2926,2965,
2001,7,25-34,5748,6126,
2001,7,35-44,4988,5601,
2001,7,45-54,3734,4254,
2001,7,55-64,2119,2199,
2001,7,65-74,2579,2126,
2001,7,75+,2887,1658,
2001,8,0-4,841,864,
2001,8,5-14,1441,1473,
2001,8,15-19,1203,1063,
2001,8,20-24,3923,3861,
2001,8,25-34,8543,10145,
2001,8,35-44,4990,6834,
2001,8,45-54,3534,4338,
2001,8,55-64,1822,2016,
2001,8,65-74,1739,1433,
2001,8,75+,1763,1094,
2001,9,0-4,1669,1586,
2001,9,5-14,3242,3343,
2001,9,15-19,1445,1607,
2001,9,20-24,1976,2125,
2001,9,25-34,5051,5389,
2001,9,35-44,5124,6195,
2001,9,45-54,3315,3820,
2001,9,55-64,1881,1870,
2001,9,65-74,1648,1491,
2001,9,75+,1629,983,
2001,10,0-4,1989,2029,
2001,10,5-14,4094,4330,
2001,10,15-19,2060,2201,
2001,10,20-24,2150,2538,
2001,10,25-34,4749,5228,
2001,10,35-44,5149,6002,
2001,10,45-54,3601,3927,
2001,10,55-64,2134,2210,
2001,10,65-74,1417,1282,
2001,10,75+,819,523,
2001,11,0-4,1381,1415,
2001,11,5-14,3780,3900,
2001,11,15-19,2084,2254,
2001,11,20-24,2238,2396,
2001,11,25-34,4321,4482,
2001,11,35-44,5543,5293,
2001,11,45-54,4918,4837,
2001,11,55-64,3053,2857,
2001,11,65-74,2743,2324,
2001,11,75+,3071,1673,
2001,12,0-4,2331,2293,
2001,12,5-14,4732,5006,
2001,12,15-19,1920,2057,
2001,12,20-24,1675,1790,
2001,12,25-34,5313,4930,
2001,12,35-44,7045,7032,
2001,12,45-54,4346,4785,
2001,12,55-64,2468,2362,
2001,12,65-74,1820,1634,
2001,12,75+,1093,739,
2001,13,0-4,1861,1915,
2001,13,5-14,4668,4853,
2001,13,15-19,2434,2533,
2001,13,20-24,1859,2035,
2001,13,25-34,4524,4339,
2001,13,35-44,6169,5708,
2001,13,45-54,4809,4830,
2001,13,55-64,2194,2215,
2001,13,65-74,1354,1269,
2001,13,75+,588,432,
2001,14,0-4,1463,1565,
2001,14,5-14,4933,5238,
2001,14,15-19,2535,2766,
2001,14,20-24,1569,1809,
2001,14,25-34,2909,2662,
2001,14,35-44,5848,5207,
2001,14,45-54,4838,5011,
2001,14,55-64,2138,2304,
2001,14,65-74,1077,1056,
2001,14,75+,703,438,
2004,1,0-4,2376,2363,
2004,1,5-14,4397,4528,
2004,1,15-19,2763,2748,
2004,1,20-24,3187,3084,
2004,1,25-34,6110,5789,
2004,1,35-44,6511,6430,
2004,1,45-54,5629,5798,
2004,1,55-64,3321,3348,
2004,1,65-74,2227,2072,
2004,1,75+,1775,1169,
2004,2,0-4,2035,1946,
2004,2,5-14,5418,5483,
2004,2,15-19,3128,3306,
2004,2,20-24,2733,3060,
2004,2,25-34,4560,4208,
2004,2,35-44,6910,6280,
2004,2,45-54,6425,6795,
2004,2,55-64,3137,3316,
2004,2,65-74,1797,1732,
2004,2,75+,1265,862,
2004,3,0-4,3419,3515,
2004,3,5-14,5909,6039,
2004,3,15-19,2134,2383,
2004,3,20-24,2784,2687,
2004,3,25-34,8767,8402,
2004,3,35-44,6959,7597,
2004,3,45-54,4289,4574,
2004,3,55-64,2134,2045,
2004,3,65-74,1195,1080,
2004,3,75+,624,482,
2004,4,0-4,2105,2167,
2004,4,5-14,4902,5029,
2004,4,15-19,2492,2608,
2004,4,20-24,2666,2758,
2004,4,25-34,5679,5491,
2004,4,35-44,6906,6823,
2004,4,45-54,5494,5722,
2004,4,55-64,2814,2691,
2004,4,65-74,2162,1916,
2004,4,75+,1570,1109,
2004,5,0-4,1923,1854,
2004,5,5-14,4489,4634,
2004,5,15-19,2422,2560,
2004,5,20-24,2549,2753,
2004,5,25-34,4375,4258,
2004,5,35-44,5122,5042,
2004,5,45-54,4622,4895,
2004,5,55-64,2370,2530,
2004,5,65-74,1349,1227,
2004,5,75+,897,616,
2004,6,0-4,2105,2251,
2004,6,5-14,4584,4909,
2004,6,15-19,2029,2348,
2004,6,20-24,2121,2066,
2004,6,25-34,5393,4728,
2004,6,35-44,6909,6258,
2004,6,45-54,5383,5559,
2004,6,55-64,2708,2769,
2004,6,65-74,2327,1930,
2004,6,75+,2286,1437,
2004,7,0-4,1083,1037,
2004,7,5-14,2036,2145,
2004,7,15-19,1549,1570,
2004,7,20-24,3297,3372,
2004,7,25-34,5375,6150,
2004,7,35-44,4486,5068,
2004,7,45-54,4056,4663,
2004,7,55-64,2319,2566,
2004,7,65-74,2340,2007,
2004,7,75+,3067,2002,
2004,8,0-4,828,846,
2004,8,5-14,1433,1441,
2004,8,15-19,1059,990,
2004,8,20-24,3782,3316,
2004,8,25-34,8749,10236,
2004,8,35-44,4803,6640,
