CENSUS_YEAR,WARD,DWELLING_TYPE,DWELLING_TYPE_CODE,DWELLING_TYPE_DESCRIPTION,DWELLING_CNT,RESIDENT_CNT,OCPD_DWELLING_CNT,VACANT_DWELLING_CNT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT
2019,1,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,23063,67008,22559,296,20319,59,122,7,20
2019,1,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",1959,4353,1855,60,1118,5,37,1,1
2019,1,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,84,123,65,18,18,0,1,0,0
2019,1,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,4741,7344,4487,237,1714,8,1,3,5
2019,1,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",3972,7832,3717,149,2090,11,89,6,0
2019,1,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,495,897,472,18,417,5,0,0,0
2019,1,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,606,882,490,96,38,5,1,13,1
2019,1,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",5,3,1,4,0,0,0,0,0
2019,1,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,2,1,1,1,0,0,0,0,0
2019,1,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",2,0,0,0,0,0,0,1,1
2019,1,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",5,655,5,0,0,0,0,0,0
2019,1,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",14,60,12,2,0,0,0,0,0
2019,1,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,10,96,8,2,0,0,0,0,0
2019,2,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,22689,71872,22080,303,19767,30,243,1,32
2019,2,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",1153,2806,1095,19,931,1,30,0,8
2019,2,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,97,186,89,8,71,0,0,0,0
2019,2,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,3246,5123,2898,339,1485,4,3,0,2
2019,2,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",4520,9745,4159,158,2856,3,195,0,5
2019,2,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,310,458,298,12,293,0,0,0,0
2019,2,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,221,326,171,43,24,1,0,5,1
2019,2,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",6,692,6,0,0,0,0,0,0
2019,2,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",4,907,3,0,0,0,0,0,1
2019,2,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,1,0,0,1,0,0,0,0,0
2019,3,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,17906,57603,17295,237,14930,18,340,4,12
2019,3,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",1301,2991,1140,40,836,0,117,0,4
2019,3,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,95,180,90,5,31,0,0,0,0
2019,3,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,2557,4253,2407,141,1424,2,3,1,3
2019,3,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",2343,4999,2097,119,1283,2,124,0,1
2019,3,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,1,0,0,0,0,0,0,0,1
2019,3,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,273,518,225,39,57,0,0,9,0
