Province,Centre,Zone,"Census Tract
Secteur de recensement","Singles
Individuels","Semis
Jumelés","Row
En bande","Apartment
and Other
Appartements
et autres",Total
Alta/Alb.,Calgary,Downtown ~ Centre-ville,0042.00,--,--,--,1,1
Alta/Alb.,Calgary,Downtown ~ Centre-ville,0043.00,--,--,--,1,1
Alta/Alb.,Calgary,Downtown ~ Centre-ville,0046.01,--,--,--,71,71
Alta/Alb.,Calgary,Downtown ~ Centre-ville,0046.02,4,2,--,3,9
Alta/Alb.,Calgary,Beltline,0026.00,0,2,9,21,32
Alta/Alb.,Calgary,Beltline,0027.00,5,--,1,--,6
Alta/Alb.,Calgary,Beltline,0031.00,--,--,--,--,--
Alta/Alb.,Calgary,Beltline,0044.00,--,--,--,464,464
Alta/Alb.,Calgary,Beltline,0045.00,--,--,--,--,--
Alta/Alb.,Calgary,North Hill,0041.00,7,3,14,73,97
Alta/Alb.,Calgary,North Hill,0054.00,10,20,--,0,30
Alta/Alb.,Calgary,North Hill,0055.00,9,--,--,--,9
Alta/Alb.,Calgary,North Hill,0056.00,8,16,4,100,128
Alta/Alb.,Calgary,North Hill,0057.00,9,2,1,6,18
Alta/Alb.,Calgary,North Hill,0058.00,8,0,1,7,16
Alta/Alb.,Calgary,North Hill,0059.00,5,6,3,5,19
Alta/Alb.,Calgary,North Hill,0060.00,7,19,--,1,27
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0015.00,13,--,3,2,18
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0016.00,5,--,--,--,5
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0017.01,--,--,--,1,1
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0017.03,--,--,--,--,--
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0017.04,--,4,--,--,4
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0017.05,--,--,--,--,--
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0017.06,--,--,--,--,--
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0018.00,1,--,--,--,1
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0019.00,2,19,--,--,21
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0020.00,7,20,15,34,76
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0021.00,6,12,14,2,34
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0022.00,8,--,2,5,15
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0023.00,24,16,34,--,74
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0024.00,10,17,16,187,230
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0025.00,3,16,0,2,21
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0028.00,11,--,--,--,11
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0047.00,7,10,17,8,42
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0048.00,7,2,3,1,13
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0049.01,1,--,--,--,1
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0049.02,--,--,--,--,--
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0049.03,1,--,--,26,27
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0050.06,15,--,32,--,47
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0050.08,4,--,0,158,162
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0050.09,3,--,12,--,15
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0050.10,33,--,32,16,81
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0050.11,39,--,--,--,39
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0050.12,6,--,--,--,6
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0050.13,2,--,--,--,2
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0050.14,13,--,--,1,14
Alta/Alb.,Calgary,Southwest ~ Sud-Ouest,0200.05,41,6,--,--,47
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.02,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.04,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.06,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.07,--,--,16,23,39
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.08,--,--,--,1,1
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.09,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.10,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.11,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.12,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.14,1,--,--,--,1
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.15,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.16,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.17,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.18,--,--,--,1,1
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.19,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.20,27,--,18,5,50
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.21,348,74,64,571,"1,057"
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.22,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0002.23,122,9,5,44,180
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0003.00,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0032.00,3,2,--,1,6
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0033.01,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0033.02,--,--,--,14,14
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0034.00,3,3,--,121,127
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0035.01,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0035.02,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0036.01,1,--,--,1,2
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0036.02,--,--,4,--,4
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0037.00,2,--,4,10,16
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0038.04,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0038.05,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0038.20,--,--,--,--,--
Alta/Alb.,Calgary,Southeast ~ Sud-Est,0038.21,--,--,51,--,51
